orgName,totalJun,totalJul,popJun,popJul,percJun,percJul,countDiff,percChange
NHS Trafford CCG,5518,11556,244034,244204,2.26116033,4.73210922,6038,109.27791617501092
NHS East Staffordshire CCG,3301,5391,146563,146820,2.252273766,3.671843073,2090,63.028275178160555
NHS Berkshire West CCG,12473,24241,557865,558343,2.23584559,4.341596474,11768,94.18140919114188
NHS Chorley and South Ribble CCG,4146,7689,187160,187281,2.215216927,4.105595335,3543,85.33604022970704
"NHS Hampshire, Southampton and Isle of Wight CCG",36844,66434,1673852,1674819,2.2011504,3.966637589,29590,80.2074764632167
NHS Castle Point and Rochford CCG,4071,7678,185526,185654,2.194301607,4.135650188,3607,88.4722763182117
NHS Stafford and Surrounds CCG,3285,5888,150922,151016,2.176621036,3.898924617,2603,79.12739758157886
NHS West Leicestershire CCG,8608,15475,404304,404527,2.129090981,3.825455408,6867,79.67552547722713
NHS Barnsley CCG,5626,8916,264334,264502,2.128367898,3.37086298,3290,58.37783416896846
NHS Cambridgeshire and Peterborough CCG,21330,38522,1006407,1007815,2.11942087,3.822328503,17192,80.34778071237923
"NHS Shropshire, Telford and Wrekin CCG",10792,NA,513139,NA,2.1031338490000002,NA,NA,NA
NHS Derby and Derbyshire CCG,22332,41398,1068264,1069058,2.090494485,3.872381106,19066,85.23756622108479
NHS Salford CCG,6033,11402,290429,290797,2.077271898,3.92094829,5369,88.75469762889944
NHS East Leicestershire and Rutland CCG,7004,13941,340707,341029,2.055725301,4.087922142,6937,98.85546673047443
NHS Kirklees CCG,9192,19446,447769,447831,2.052844212,4.342263041,10254,111.52423625802152
NHS Ipswich and East Suffolk CCG,8534,14947,416225,416468,2.050333353,3.588991231,6413,75.04427881196352
NHS Northamptonshire CCG,15918,30981,791609,792511,2.010841211,3.909220187,15063,94.40720458757298
NHS South Sefton CCG,3104,8447,156759,156774,1.980109595,5.388010767,5343,172.10669452869348
NHS Calderdale CCG,4373,8500,222148,222343,1.968507481,3.822922242,4127,94.20410025863652
NHS Bury CCG,4045,8098,207672,207900,1.947783042,3.895141895,4053,99.97822195845981
NHS South Tyneside CCG,2983,5764,158543,158615,1.881508487,3.633956435,2781,93.1405816188593
"NHS Bristol, North Somerset and South Gloucestershire CCG",19513,42331,1043537,1044172,1.869890574,4.054025582,22818,116.805498587427
NHS East Lancashire CCG,7290,14472,391629,392055,1.861455612,3.69131882,7182,98.30281185345825
NHS Warrington CCG,4049,9008,220774,220801,1.834002192,4.079691668,4959,122.44748047716615
NHS Sheffield CCG,11170,23793,613782,613487,1.819864382,3.87832179,12623,113.11048385582393
NHS North Tyneside CCG,3894,8774,223341,223413,1.743522237,3.9272558,4880,125.24839182765183
NHS North Cumbria CCG,5703,10042,327203,327514,1.74295468,3.066128471,4339,75.91555914695383
NHS Bradford District and Craven CCG,11253,27570,646051,646121,1.741812953,4.26700262,16317,144.9747897815754
NHS Portsmouth CCG,3968,7245,230211,230164,1.723636142,3.147755513,3277,82.62296991217303
NHS Newcastle Gateshead CCG,8680,17841,532000,531981,1.631578947,3.353691203,9161,105.5488157141562
NHS County Durham CCG,9101,17427,558310,558062,1.630097974,3.122771305,8326,91.56954703386438
NHS Black Country and West Birmingham CCG,24320,57071,1492067,1493091,1.629953615,3.822339027,32751,134.50600016001067
NHS Tees Valley CCG,11487,21085,711776,711991,1.613850425,2.961413838,9598,83.49989516531556
NHS Rotherham CCG,4110,7950,265117,265270,1.550258942,2.996946507,3840,93.31909178563541
NHS North East Lincolnshire CCG,2643,4623,170566,170746,1.549546803,2.707530484,1980,74.73047466253266
NHS North Staffordshire CCG,3065,6193,217125,216967,1.411629246,2.854351123,3128,102.2026060375346
NHS Leeds CCG,11677,29883,897827,898122,1.300584634,3.32727625,18206,155.82927577475903
NHS Sunderland CCG,3381,7319,284397,284451,1.188831106,2.573026637,3938,116.43332042827618
NHS Leicester City CCG,4948,15844,421879,422203,1.172848139,3.752697162,10896,219.96445551762946
NHS Doncaster CCG,3534,7534,326160,326148,1.083517292,2.309994236,4000,113.19403511651572
NHS Stoke on Trent CCG,3062,6512,296252,296509,1.03357952,2.1962233860000002,3450,112.48712300336604
NHS Cannock Chase CCG,1374,3256,135501,135648,1.014014657,2.400330267,1882,136.71553960585405
Unallocated,13053,19174,NA,NA,0,0,6121,NA
